"community_name","business_district","all_num_business_district","all_num_community","business_district_average_price","community_average_price","community_sales_num","exbination_and_adjustment_ave_exhibition_period","price_adjustment_num","price_adjustment_average"
"新城公馆","南翔",366,8,2203.10928961749,4020,4,5.99664223713007,1,130
"新凯城香樟苑","佘山",143,11,1839.51048951049,1961.81818181818,2,1.63532959468211,1,300
"新凯城钟秀苑","佘山",143,5,1839.51048951049,1660,3,4.39883334425202,1,300
"港城新苑","港城路",51,9,1864.90196078431,1631.11111111111,2,1.88762680555567,1,130
"海江二村","水产路",32,5,2283.125,1610,1,2.40194598651815,1,140
"泾东小区","德平路",100,6,3046.29,4665,2,5.00080644738205,1,470
"檀乡湾","共富新村",138,8,2121.50724637681,2137.5,1,0.999943533267964,1,100
"凤城二村","江浦路",78,13,3739.48717948718,3872.30769230769,4,1.38349902718941,1,400
"燕宁苑","武宁路",42,11,3262.7619047619,3127.27272727273,5,2.99892493820903,1,530
"新城金郡","白银路",234,38,2017.34615384615,2433.92105263158,13,1.73587241682146,1,300
"新弘国际公寓","延长路",103,1,3250.56310679612,2760,1,20.0047060589465,1,170
"和平花苑","鞍山新村",36,1,3767.5,3030,1,13.9836017236224,1,200
"川杨璟苑","华夏东路",247,4,1822.13765182186,1652.5,3,4.74836097991577,1,140
"玉兰四村","安亭",101,6,1444.65346534653,1203.33333333333,2,1.66299182938251,1,100
"新泾一村","北新泾",80,2,3599,3710,2,1.99815708638341,1,200
"馨佳园(菊泉街1281弄)","刘行",322,4,1954.25465838509,1725,1,3.50137484907966,1,330
"绿海家园","川沙",211,21,1921.23222748815,2363.33333333333,3,1.76078964579581,1,1000
"祁连一村","上海大学",134,8,2104.55223880597,2973.75,2,2.37666551280974,1,240
"浦城小区","商城路",92,4,4007.05434782609,3700,1,2.99915615517646,1,370
"新黄小区","新村路",80,1,3406.225,3830,1,6.00360351834584,1,360
"四平路643号","邮电新村",43,1,3319,4090,1,14.0060496931137,1,300
"新凯城紫荆苑","佘山",143,5,1839.51048951049,1340,1,4.20435690102092,1,200
"华浩苑","陆家浜路",48,1,4378.3125,4090,1,6.00048985867037,1,340
"祥和花苑(公寓)","松江新城",142,13,1634.43661971831,1436.92307692308,1,1.76895971940793,1,270
"绿地公园广场","顾村公园",108,7,2088.51851851852,3415.71428571429,2,2.43280675673532,1,200
"耀江花园","西藏南路",94,4,5043.71276595745,10150,1,2.2518890262678,1,540
"斜土路486弄","鲁班路",87,1,4453.51724137931,4790,1,11.9965332165719,1,1340
"东方星座酒店式公寓","江浦路",78,2,3739.48717948718,3940,1,4.0000499016557,1,300
"浦江瑞和城陆街区（南）","汇臻路",69,37,1555.65217391304,1628.64864864865,4,0.567258953586429,1,100
"真北新村三街坊","上海西站",200,1,2731.77,4490,1,23.0131953551399,1,340
"名门世家(浦东)","北洋泾路",113,13,2841.7610619469,2613.84615384615,5,2.22852997912365,2,345
"东风广场","动物园",188,17,2340.26063829787,2436.47058823529,2,1.11675702594432,1,100
"景福里","南楼",19,2,1711.57894736842,1610,2,17.0015253163239,1,130
"金禧园","南翠屏",75,2,1748.8,1540,1,9.50958821707164,1,140
"雅川家园","咸阳路",7,1,1512.85714285714,1530,1,23.0176316785757,1,130
"新界五期","太平园",37,4,1294.86486486486,1320,4,8.25034623682637,1,30
"中国铁建国际城","玉龙路",142,89,1125,2043.77528089888,22,1.98561529644606,4,1047.75
"紫藤花园","三眼桥",22,6,1315.45454545455,1270,2,4.32340456768088,1,70
"同馨花园雍豪府","崇仁路",2,2,1825,1825,1,10.0031172947392,1,40
"蒂梵尼TOWN","广都",101,4,1128.0198019802,1045,3,10.7534331019575,3,66.6666666666667
"中海阳光玫瑰园","",17337,3,2055.19659648111,6570,1,5.66756540969934,1,130
"福宇轩","沙尾",143,4,2759.41958041958,539.25,1,5.50082804602398,1,10
"绿海名都","",17337,9,2055.19659648111,3679.88888888889,5,1.66422166237125,2,415
"益田花园","",17337,5,2055.19659648111,1631.6,1,0.798403520171289,1,20
"海滨花园","",17337,16,2055.19659648111,2821.875,3,2.18736043972032,1,200
"英达花园","",17337,12,2055.19659648111,1585.83333333333,9,6.16664326788375,1,70
"东景花园","",17337,5,2055.19659648111,2412,1,1.00177313040252,1,30
"龙威花园一期","",17337,6,2055.19659648111,1510,2,7.3332028665412,1,70
"万科城四期","",17337,3,2055.19659648111,1503.33333333333,3,8.99473840324875,2,85
"金地龙城中央二期","",17337,97,2055.19659648111,1371.44329896907,11,0.834581404302658,1,40
